contentid,contenttypeid,title,addr1,addr2,zipcode,tel,mapx,mapy,mlevel,firstimage,firstimage2,cpyrhtDivCd,createdtime,modifiedtime,areacode,sigungucode,lDongRegnCd,lDongSignguCd,cat1,cat2,cat3,lclsSystm1,lclsSystm2,lclsSystm3
125445,12,생각하는 정원,제주특별자치도 제주시 한경면 녹차분재로 675,(한경면),63005,,126.2551643784,33.3253707254,6,https://tong.visitkorea.or.kr/cms/resource/24/4090224_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/24/4090224_image3_1.jpg,Type3,20031212090000,20260721142306,,,50,110,,,,NA,NA04,NA040700
126434,12,수월봉,제주특별자치도 제주시 한경면 고산리 3760,,63008,,126.1634201497,33.2947890147,6,http://tong.visitkorea.or.kr/cms/resource/12/3354312_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/3354312_image3_1.jpg,Type3,20040226090000,20250321133133,39,4,50,110,A01,A0101,A01010400,NA,NA01,NA010100
126435,12,성산일출봉 [유네스코 세계자연유산],제주특별자치도 서귀포시 성산읍 일출로 284-12,,63643,,126.9415156012,33.4581111174,6,http://tong.visitkorea.or.kr/cms/resource/82/2944282_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/82/2944282_image3_1.bmp,Type3,20030722090000,20251121173507,39,3,50,130,A01,A0101,A01010400,NA,NA01,NA010100
126436,12,성판악,제주특별자치도 제주시 조천읍 516로 1865,,63345,,126.6203951135,33.3848945984,6,http://tong.visitkorea.or.kr/cms/resource/04/3077604_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/3077604_image3_1.jpg,Type3,20030721090000,20250429170021,39,4,50,130,A01,A0101,A01010400,NA,NA01,NA010100
126437,12,정방폭포,제주특별자치도 서귀포시 칠십리로214번길 37 (동홍동),,63599,,126.5730501303,33.2447479529,6,https://tong.visitkorea.or.kr/cms/resource_photo/32/3052932_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource_photo/32/3052932_image3_1.jpg,Type1,20030908090000,20260630103645,,,50,130,,,,NA,NA01,NA010300
126438,12,천지연폭포,제주특별자치도 서귀포시 서홍동 666-1,,63594,,126.5595508450,33.2447166744,6,https://tong.visitkorea.or.kr/cms/resource/43/4094043_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/43/4094043_image3_1.jpg,Type1,20030908090000,20260729141814,,,50,130,,,,NA,NA01,NA010300
126439,12,천제연폭포,제주특별자치도 서귀포시 천제연로 132,(중문동),63546,,126.4184294967,33.2526559999,6,http://tong.visitkorea.or.kr/cms/resource/56/3552156_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/3552156_image3_1.jpg,Type1,20030925090000,20260102180026,39,3,50,130,A01,A0101,A01010800,NA,NA01,NA010300
126440,12,안덕계곡,제주특별자치도 서귀포시 안덕면 감산리,1946,63531,,126.3529100773,33.2573294533,6,http://tong.visitkorea.or.kr/cms/resource/10/3023810_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/3023810_image3_1.jpg,Type1,20030925090000,20250512172029,39,3,50,130,A01,A0101,A01010900,NA,NA01,NA010400
126441,12,돈내코 원앙폭포,제주특별자치도 서귀포시 돈내코로 137,,63582,,126.5820170154,33.3005255267,6,http://tong.visitkorea.or.kr/cms/resource/84/3589084_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/3589084_image2_1.jpg,Type1,20030908090000,20251229152311,39,3,50,130,A01,A0101,A01010900,NA,NA01,NA010400
126443,12,화순금모래해수욕장,제주특별자치도 서귀포시 안덕면 화순해안로,91,63530,,126.3335149080,33.2407004292,6,http://tong.visitkorea.or.kr/cms/resource/52/3023852_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/3023852_image3_1.jpg,Type3,20030925090000,20250408145432,39,3,50,130,A01,A0101,A01011200,NA,NA02,NA020900
126444,12,차귀도,제주특별자치도 제주시 한경면 고락로 200-52,,63008,,126.1485,33.3116,6,https://tong.visitkorea.or.kr/cms/resource/54/3555354_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/54/3555354_image3_1.jpg,Type1,20030925090000,20260211092429,,,50,110,,,,NA,NA02,NA020500
126445,12,제주 토끼섬 문주란 자생지,제주특별자치도 제주시 구좌읍 문주란로,(구좌읍),63363,,126.9083420420,33.5202314920,6,http://tong.visitkorea.or.kr/cms/resource/60/3554060_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/3554060_image3_1.jpg,Type1,20031121090000,20251023104559,39,4,50,110,A01,A0102,A01020100,NA,NA03,NA030200
126446,12,가파도,제주특별자치도 서귀포시 대정읍 가파로,,63514,,126.273577321075,33.1664033797004,6,https://tong.visitkorea.or.kr/cms/resource/68/3543168_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/68/3543168_image3_1.jpg,Type1,20030909090000,20260520091024,,,50,130,,,,NA,NA02,NA020500
126447,12,신양섭지해수욕장,제주특별자치도 서귀포시 성산읍 섭지코지로 107,,63642,,126.9280674087,33.4302500880,6,http://tong.visitkorea.or.kr/cms/resource/02/3024202_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/3024202_image3_1.jpg,Type3,20030707090000,20250404162623,39,3,50,130,A01,A0101,A01011200,NA,NA02,NA020900
126448,12,이호테우해변,제주특별자치도 제주시 도리로,(이호일동),63111,,126.4531570913,33.4974183784,6,http://tong.visitkorea.or.kr/cms/resource/66/3354566_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/3354566_image3_1.jpg,Type3,20031222090000,20250321110021,39,4,50,110,A01,A0101,A01011200,NA,NA02,NA020900
126449,12,중문색달해수욕장,제주특별자치도 서귀포시 색달동,,63535,,126.4112108397,33.2454289066,6,http://tong.visitkorea.or.kr/cms/resource/13/3552513_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/3552513_image3_1.jpg,Type1,20030925090000,20251023143000,39,3,50,130,A01,A0101,A01011200,NA,NA02,NA020900
126450,12,마라도,제주특별자치도 서귀포시 대정읍 마라로101번길 46,,63515,,126.2671011468,33.1186461893,6,http://tong.visitkorea.or.kr/cms/resource/83/3516583_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/3516583_image3_1.jpg,Type1,20030925090000,20251105155906,39,3,50,130,A01,A0101,A01011300,NA,NA02,NA020500
126451,12,함덕해수욕장 (함덕 서우봉 해변),제주특별자치도 제주시 조천읍 조함해안로 519-10,,63333,,126.6683567720,33.5439000013,6,http://tong.visitkorea.or.kr/cms/resource/00/3354600_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3354600_image3_1.jpg,Type3,20030909090000,20250724163402,39,4,50,110,A01,A0101,A01011200,NA,NA02,NA020900
126452,12,만장굴 (제주도 국가지질공원),제주특별자치도 제주시 구좌읍 만장굴길 182,(구좌읍),63348,,126.770664622639,33.5280164989348,6,https://tong.visitkorea.or.kr/cms/resource/55/3354155_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/55/3354155_image3_1.jpg,Type3,20040226090000,20260511093029,,,50,110,,,,NA,NA03,NA030100
126454,12,사라봉공원,제주특별자치도 제주시 사라봉길 75 (건입동),,63284,,126.5462013564,33.5160372422,6,http://tong.visitkorea.or.kr/cms/resource/84/3026884_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/3026884_image3_1.jpg,Type3,20031111090000,20250411095648,39,4,50,110,A02,A0202,A02020700,VE,VE03,VE030100
126455,12,한림공원,제주특별자치도 제주시 한림읍 한림로 300,,63011,,126.2415557152,33.3886659647,6,http://tong.visitkorea.or.kr/cms/resource/83/3553983_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/3553983_image3_1.jpg,Type1,20040226090000,20251114152818,39,4,50,110,A02,A0202,A02020700,VE,VE03,VE030100
126456,12,관음사(제주),제주특별자치도 제주시 산록북로 660,,63244,,126.5581312120,33.4237307637,6,https://tong.visitkorea.or.kr/cms/resource/84/4094984_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/84/4094984_image3_1.jpg,Type1,20030721090000,20260803153615,,,50,110,,,,HS,HS03,HS030100
126457,12,산방굴사(제주),제주특별자치도 서귀포시 안덕면 산방로 218-12,,63528,,126.3133472902,33.2372560486,6,http://tong.visitkorea.or.kr/cms/resource/60/3384460_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/3384460_image3_1.jpg,Type3,20021008090000,20251224153509,39,3,50,130,A02,A0201,A02010800,HS,HS03,HS030100
126458,12,원당사지,제주특별자치도 제주시 원당로16길 41,(삼양일동),63316,,126.5984742947,33.5290560802,6,http://tong.visitkorea.or.kr/cms/resource/19/3477919_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3477919_image3_1.jpg,Type3,20021213090000,20250424105848,39,4,50,110,A02,A0201,A02010700,HS,HS01,HS010900
126459,12,모충사,제주특별자치도 제주시 건입동,1427-13,63307,,126.5455208585,33.5161427755,6,http://tong.visitkorea.or.kr/cms/resource/24/3555224_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/3555224_image3_1.jpg,Type1,20021213090000,20251024101743,39,4,50,110,A02,A0201,A02010700,HS,HS01,HS010900
126460,12,관덕정(제주),제주특별자치도 제주시 관덕로 19,,63166,,126.5219575322,33.5132642036,6,https://tong.visitkorea.or.kr/cms/resource/84/4074284_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/84/4074284_image3_1.jpg,Type1,20021213090000,20260626172429,,,50,110,,,,HS,HS01,HS010100
126461,12,산천단곰솔,제주특별자치도 제주시 516로 3041-24,(아라일동),63244,,126.5547604989,33.4476699442,6,http://tong.visitkorea.or.kr/cms/resource/86/3384586_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/3384586_image3_1.jpg,Type3,20021213090000,20250324171655,39,4,50,110,A01,A0102,A01020100,NA,NA03,NA030200
126462,12,오현단,제주특별자치도 제주시 오현길 61,(이도일동),63192,,126.5255683759,33.5102618336,6,https://tong.visitkorea.or.kr/cms/resource/59/4074259_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/59/4074259_image3_1.jpeg,Type1,20021216090000,20260612175410,,,50,110,,,,HS,HS01,HS010900
126463,12,연북정,제주특별자치도 제주시 조천읍 조천리,2690,63331,,126.6359680033,33.5402304438,6,http://tong.visitkorea.or.kr/cms/resource/47/3556247_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/3556247_image3_1.jpg,Type1,20040226090000,20251025225801,39,4,50,110,A02,A0201,A02010700,HS,HS01,HS011200
126464,12,여미지식물원,제주특별자치도 서귀포시 중문관광로 93 (색달동),,63535,,126.4145703230215,33.25205020409702,6,https://tong.visitkorea.or.kr/cms/resource/81/3551581_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/81/3551581_image3_1.jpg,Type1,20040224090000,20260520091116,,,50,130,,,,NA,NA04,NA040700
126465,12,혼인지,제주특별자치도 서귀포시 성산읍 혼인지로 39-14,,63633,,126.8948368625,33.4147546599,6,https://tong.visitkorea.or.kr/cms/resource/52/3543052_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/52/3543052_image3_1.jpg,Type1,20020430090000,20260710081658,,,50,130,,,,NA,NA02,NA020400
126466,12,퍼시픽 리솜,제주특별자치도 서귀포시 중문관광로 154-17,,63535,,126.415640156538,33.244988161814,6,https://tong.visitkorea.or.kr/cms/resource/60/2587960_image2_1.bmp,https://tong.visitkorea.or.kr/cms/resource/60/2587960_image3_1.bmp,Type3,20031104090000,20260206142100,,,50,130,,,,VE,VE02,VE020100
126467,12,무수천,제주특별자치도 제주시 애월읍 무수천길,(애월읍) 일대,63060,,126.4470472947,33.4627665614,6,http://tong.visitkorea.or.kr/cms/resource/42/3384742_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/3384742_image3_1.jpg,Type3,20030908090000,20250324142600,39,4,50,110,A01,A0101,A01010900,NA,NA01,NA010400
126468,12,방선문,제주특별자치도 제주시 오라이동,39-1,63147,,126.5169053039,33.4542936092,6,http://tong.visitkorea.or.kr/cms/resource/02/1802002_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/1802002_image3_1.jpg,Type3,20031114090000,20251224130708,39,4,50,110,A01,A0101,A01010900,NA,NA01,NA010400
126469,12,한라산 영실,제주특별자치도 서귀포시 영실로 246,,63554,,126.4803110551,33.3402306397,6,http://tong.visitkorea.or.kr/cms/resource/15/3552115_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3552115_image3_1.jpg,Type1,20030721090000,20251023143000,39,3,50,130,A01,A0101,A01010400,NA,NA01,NA010100
126470,12,외돌개(제주),제주특별자치도 서귀포시 서흥동,791,63594,,126.5462159180,33.2402621646,6,http://tong.visitkorea.or.kr/cms/resource/75/3552175_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/3552175_image3_1.jpg,Type1,20030619090000,20251023143000,39,3,50,130,A01,A0102,A01020200,NA,NA03,NA030300
126471,12,성읍민속마을,제주특별자치도 서귀포시 표선면 성읍리,3294,63624,,126.7882138165,33.3884302280,6,http://tong.visitkorea.or.kr/cms/resource/64/3551564_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/3551564_image3_1.jpg,Type1,20030925090000,20251114164908,39,3,50,130,A02,A0201,A02010600,HS,HS01,HS010600
126472,12,비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,,63351,,126.8074760594,33.4862219608,6,https://tong.visitkorea.or.kr/cms/resource/06/4075306_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/06/4075306_image3_1.jpg,Type1,20040226090000,20260616133032,,,50,110,,,,NA,NA04,NA040700
126473,12,연화못(하가못),제주특별자치도 제주시 애월읍 하가로,,63036,,126.3475200185,33.4547464297,6,http://tong.visitkorea.or.kr/cms/resource/92/3396892_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/3396892_image3_1.jpg,Type3,20040226090000,20250324160313,39,4,50,110,A01,A0101,A01011700,NA,NA02,NA020200
126474,12,산굼부리,제주특별자치도 제주시 조천읍 비자림로 768,,63346,,126.6928183084,33.4323127375,6,http://tong.visitkorea.or.kr/cms/resource/55/3354255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/3354255_image3_1.jpg,Type3,20040226090000,20250320150331,39,4,50,110,A01,A0101,A01010400,NA,NA01,NA010100
126665,12,서귀포잠수함,제주특별자치도 서귀포시 남성중로 40 (서홍동),,63594,,126.558636,33.239237,6,,,,20020927090000,20260330111158,,,50,130,,,,EX,EX07,EX070100
126672,12,송악산,제주특별자치도 서귀포시 대정읍 송악관광로 421-1,,63512,,126.2903,33.1989,6,https://tong.visitkorea.or.kr/cms/resource/29/3523429_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/29/3523429_image3_1.jpg,Type3,20030424090000,20260318101005,,,50,130,,,,NA,NA01,NA010100
127046,12,김녕미로공원,제주특별자치도 제주시 구좌읍 만장굴길 122,,63348,,126.7720396084,33.5363247299,6,http://tong.visitkorea.or.kr/cms/resource/69/3556269_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/3556269_image3_1.jpg,Type1,20031105090000,20251114165535,39,4,50,110,A02,A0202,A02020700,VE,VE03,VE030100
127048,12,문섬·섶섬·범섬·새섬,제주특별자치도 서귀포시 남성중로 43 (서홍동),,63594,,126.55826631161925,33.23979255217772,6,https://tong.visitkorea.or.kr/cms/resource/33/4065833_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/33/4065833_image3_1.jpg,Type1,20030925090000,20260519162458,,,50,130,,,,NA,NA02,NA020500
127049,12,삼매봉,제주특별자치도 서귀포시 서홍동,820-2,63578,,126.5468824444,33.2439117723,6,http://tong.visitkorea.or.kr/cms/resource/76/3527376_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/3527376_image3_1.jpg,Type3,20040128090000,20250827095438,39,3,50,130,A02,A0202,A02020700,VE,VE03,VE030100
127050,12,강정천,제주특별자치도 서귀포시 강정동,,63564,,126.4890000000,33.2325000000,6,https://tong.visitkorea.or.kr/cms/resource_photo/33/3392633_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource_photo/33/3392633_image3_1.jpg,Type1,20020624090000,20260619155250,,,50,130,,,,NA,NA01,NA010400
127051,12,고근산,제주특별자치도 서귀포시 서호동,1287,63574,,126.5139125656,33.2668281661,6,http://tong.visitkorea.or.kr/cms/resource/54/3477254_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/3477254_image2_1.jpg,Type3,20030509090000,20250508163147,39,3,50,130,A01,A0101,A01010400,NA,NA01,NA010100
127052,12,엉또폭포,제주특별자치도 서귀포시 엉또로 104 (강정동),,63556,,126.4984055673,33.2672723157,6,http://tong.visitkorea.or.kr/cms/resource/58/3536058_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/3536058_image3_1.jpg,Type1,20030908090000,20250915113317,39,3,50,130,A01,A0101,A01010800,NA,NA01,NA010300
127053,12,대포주상절리,제주특별자치도 서귀포시 이어도로 36-24 (중문동),,63547,,126.4264985478,33.2389326421,6,http://tong.visitkorea.or.kr/cms/resource/61/3535261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/3535261_image3_1.jpg,Type1,20030723090000,20250912091731,39,3,50,130,A01,A0101,A01011100,NA,NA02,NA020800
127055,12,사라봉(모충사) 의병항쟁기념탑,제주특별자치도 제주시 사라봉길 75,,63284,,126.5470457247,33.5161733522,6,http://tong.visitkorea.or.kr/cms/resource/89/3400689_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/3400689_image3_1.jpg,Type3,20031121090000,20250324104037,39,4,50,110,A02,A0205,A02050200,HS,HS02,HS020100
127202,12,어승생,제주특별자치도 제주시 해안동,산220-12 (일대),63077,,126.5067521811,33.3856593715,6,http://tong.visitkorea.or.kr/cms/resource/72/3555172_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/3555172_image3_1.jpg,Type1,20031114090000,20251024095332,39,4,50,110,A01,A0101,A01010400,NA,NA01,NA010100
127283,12,이중섭 거주지,제주특별자치도 서귀포시 이중섭로 29,(서귀동),63595,,126.5644169991,33.2455757555,6,http://tong.visitkorea.or.kr/cms/resource/75/3401275_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/3401275_image3_1.jpg,Type3,20031121090000,20251126182733,39,3,50,130,A02,A0201,A02010700,HS,HS01,HS011200
127310,12,금산공원(납읍난대림지대),제주특별자치도 제주시 애월읍 납읍리,,63035,,126.330699357454,33.4338648460439,6,https://tong.visitkorea.or.kr/cms/resource/69/3396869_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/69/3396869_image3_1.jpg,Type3,20030410090000,20260305101935,,,50,110,,,,NA,NA04,NA040500
127336,12,우도,제주특별자치도 제주시 삼양고수물길 1,,63365,,126.9510300250,33.5195017100,6,http://tong.visitkorea.or.kr/cms/resource/71/3554771_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/3554771_image3_1.jpg,Type1,20031121090000,20251023161353,39,4,50,110,A01,A0101,A01011300,NA,NA02,NA020500
127363,12,우도잠수함,제주특별자치도 서귀포시 성산읍 성산등용로 112-7,,63643,,126.93452013491,33.4728533627449,6,,,,20030619090000,20260206162858,,,50,130,,,,EX,EX07,EX070100
127479,12,제주절물자연휴양림,제주특별자치도 제주시 명림로 584,,63313,,126.6252156649,33.4400774642,6,,,,20031028090000,20251205152615,39,4,50,110,A01,A0101,A01010600,NA,NA04,NA040600
127490,12,협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,,63011,,126.2394418960,33.3937764770,6,http://tong.visitkorea.or.kr/cms/resource/66/3096066_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/3096066_image3_1.jpg,Type1,20030925090000,20251023143000,39,4,50,110,A01,A0101,A01011200,NA,NA02,NA020900
127492,12,중문관광단지,제주특별자치도 서귀포시 색달동,,63535,,126.4125,33.2487,6,https://tong.visitkorea.or.kr/cms/resource/97/3527897_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/97/3527897_image3_1.jpg,Type3,20031107090000,20260318101005,,,50,130,,,,VE,VE05,VE050100
127514,12,한라수목원,제주특별자치도 제주시 수목원길 72,(연동),63143,,126.4921487719,33.4697692812,6,http://tong.visitkorea.or.kr/cms/resource/91/3541991_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3541991_image3_1.jpg,Type1,20040224090000,20251121161200,39,4,50,110,A01,A0101,A01010700,NA,NA04,NA040700
127520,12,서귀포 김정희 유배지,제주특별자치도 서귀포시 대정읍 추사로 44,,63517,,126.278322243599,33.2499354176354,6,https://tong.visitkorea.or.kr/cms/resource/00/3552000_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/00/3552000_image3_1.jpg,Type1,20030627090000,20260312090840,,,50,130,,,,HS,HS01,HS010400
127529,12,비양도,제주특별자치도 제주시 한림읍 협재리,,63011,,126.2257094042,33.4096328399,6,http://tong.visitkorea.or.kr/cms/resource/98/3556298_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/3556298_image3_1.jpg,Type1,20030909090000,20251127180850,39,4,50,110,A01,A0101,A01011300,NA,NA02,NA020500
127635,12,한라산,제주특별자치도 서귀포시 토평동,산15-1,63580,,126.5300000000,33.3618000000,6,https://tong.visitkorea.or.kr/cms/resource_photo/41/3460441_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource_photo/41/3460441_image3_1.jpg,Type1,20030929090000,20260619093209,,,50,130,,,,NA,NA01,NA010100
127743,12,제주향교,제주특별자치도 제주시 서문로 43,,63153,,126.5158220408,33.5111282430,6,https://tong.visitkorea.or.kr/cms/resource/43/4072143_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/43/4072143_image3_1.jpeg,Type1,20021218090000,20260610083438,,,50,110,,,,HS,HS01,HS010900
127744,12,제주 삼성혈,제주특별자치도 제주시 삼성로 22,(이도일동),63197,,126.528945979249,33.5041459335279,6,https://tong.visitkorea.or.kr/cms/resource/44/3555444_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/44/3555444_image3_1.jpg,Type1,20031121090000,20260323100748,,,50,110,,,,HS,HS01,HS011200
127745,12,용연,제주특별자치도 제주시 흥운길 73 (용담이동),,63152,,126.5139125156,33.5152118184,6,http://tong.visitkorea.or.kr/cms/resource/11/3555211_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3555211_image3_1.jpg,Type1,20031121090000,20251024101046,39,4,50,110,A01,A0101,A01010900,NA,NA01,NA010400
127813,12,섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,,63642,,126.9280674087,33.4302500880,6,,,,20030827090000,20251211143532,39,3,50,130,A01,A0101,A01011100,NA,NA02,NA020800
127857,12,일출랜드,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,,63635,,126.8428064761,33.3811208022,6,http://tong.visitkorea.or.kr/cms/resource/11/3515611_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3515611_image3_1.jpg,Type3,20030701090000,20251212094103,39,3,50,130,A02,A0202,A02020700,VE,VE03,VE030500
127860,12,금능석물원,제주특별자치도 제주시 한림읍 한림로 176,,63010,,126.2267487402,33.3854910837,6,http://tong.visitkorea.or.kr/cms/resource/73/3053373_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/3053373_image3_1.jpg,Type3,20040220090000,20250523100115,39,4,50,110,A01,A0101,A01010700,NA,NA04,NA040700
127861,12,제주 서귀포 산방산,제주특별자치도 서귀포시 안덕면 사계리,산16,63528,,126.3140110065,33.2424277101,6,http://tong.visitkorea.or.kr/cms/resource/61/3536261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/3536261_image3_1.jpg,Type1,20030627090000,20250912163456,39,3,50,130,A01,A0101,A01010400,NA,NA01,NA010100
127862,12,약천사(제주),제주특별자치도 서귀포시 이어도로 293-28 (대포동),,63543,,126.449555,33.246208,6,https://tong.visitkorea.or.kr/cms/resource/17/3034717_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/17/3034717_image3_1.jpg,Type3,20031121090000,20260522155124,,,50,130,,,,HS,HS03,HS030100
127863,12,추자도,제주특별자치도 제주시 추자면,,63001,,126.3076233112,33.9518128033,6,http://tong.visitkorea.or.kr/cms/resource/00/3539200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3539200_image3_1.jpg,Type3,20031021090000,20250917200847,39,4,50,110,A01,A0101,A01011300,NA,NA02,NA020500
127870,12,곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565,,63034,,126.3031045774,33.4485353054,6,http://tong.visitkorea.or.kr/cms/resource/30/3053130_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/3053130_image3_1.jpg,Type3,20031020090000,20250731131253,39,4,50,110,A01,A0101,A01011200,NA,NA02,NA020900
127909,12,명월대,제주특별자치도 제주시 한림읍 명월리,,63014,,126.2662091182,33.3890302004,6,http://tong.visitkorea.or.kr/cms/resource/63/3477863_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/3477863_image3_1.jpg,Type3,20030915090000,20250521172813,39,4,50,110,A02,A0201,A02010700,HS,HS01,HS011200
128049,12,제주 센트럴파크,제주특별자치도 제주시 조천읍 비자림로 606,,63346,,126.6745670935,33.4332262333,6,http://tong.visitkorea.or.kr/cms/resource/45/3034545_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3034545_image3_1.jpg,Type3,20040227090000,20250404111251,39,4,50,110,A02,A0202,A02020600,VE,VE02,VE020100
128050,12,제주 항파두리 항몽 유적,제주특별자치도 제주시 애월읍 항파두리로 50,,63057,,126.408949991063,33.4523056089357,6,https://tong.visitkorea.or.kr/cms/resource/27/4033427_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/27/4033427_image3_1.jpg,Type3,20040227090000,20260309093631,,,50,110,,,,HS,HS01,HS011200
128150,12,서광차밭,제주특별자치도 서귀포시 안덕면 신화역사로 15,(오설록티뮤지엄),63521,,126.2893811780,33.3059564173,6,http://tong.visitkorea.or.kr/cms/resource/41/3024741_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/3024741_image3_1.jpg,Type3,20040524090000,20250414112341,39,3,50,130,A02,A0204,A02040800,EX,EX06,EX061000
128154,12,성산포유람선,제주특별자치도 서귀포시 성산읍 성산등용로 130-21,,63643,,126.9345186424,33.4729843609,6,http://tong.visitkorea.or.kr/cms/resource/16/3396216_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/3396216_image3_1.jpg,Type3,20040531090000,20251127181003,39,3,50,130,A02,A0202,A02020800,EX,EX07,EX070100
128175,12,서귀포자연휴양림,제주특별자치도 서귀포시 1100로 882,,63554,,126.4630826543,33.3108197268,6,http://tong.visitkorea.or.kr/cms/resource/27/3023727_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/3023727_image3_1.jpg,Type3,20040625090000,20250404112459,39,3,50,130,A01,A0101,A01010600,NA,NA04,NA040600
128326,12,신풍리체험휴양마을,제주특별자치도 서귀포시 성산읍 신풍하동로 39,,63636,,126.8405571105,33.3619201078,6,http://tong.visitkorea.or.kr/cms/resource/30/3401530_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/3401530_image3_1.jpg,Type3,20050311090000,20251127093940,39,3,50,130,A02,A0203,A02030100,EX,EX03,EX030100
128330,12,위미1리어촌체험마을,제주특별자치도 서귀포시 남원읍 위미해안로 43,,63611,,126.6587526977,33.2710355577,6,http://tong.visitkorea.or.kr/cms/resource/18/3400618_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/3400618_image3_1.jpg,Type3,20050311090000,20251127095106,39,3,50,130,A02,A0203,A02030100,EX,EX03,EX030400
